Non-industry income and expenditure/revenue,Interest-bearing debt interest rate,Net Value Per Share (A),Persistent EPS in the Last Four Seasons,Net Value Growth Rate,Interest Expense Ratio,Total debt/Total net worth,Borrowing dependency,Net profit before tax/Paid-in capital,Fixed Assets Turnover Frequency,Cash/Total Assets,Net Income to Total Assets,Net Income to Stockholder's Equity,Degree of Financial Leverage (DFL),Equity to Liability,Bankrupt?
0.303501565,0.000356036,0.183388816,0.22095112,0.000406108,0.631739976,0.008377789,0.37787167,0.174609758,0.000491724,0.016028416,0.804705531,0.840817533,0.027157284,0.025912547,alive
0.303550146,0.000408041,0.181281868,0.215089345,0.000446284,0.631123204,0.001502841,0.369637181,0.16998718,0.000232245,0.099152341,0.797389747,0.840118267,0.026881827,0.091710054,alive
0.303462651,0.000476048,0.168176647,0.218871135,0.000417661,0.628856112,0.006455466,0.374532246,0.163690521,0.000888885,0.033919963,0.786042687,0.839257203,0.026487426,0.030485744,alive
0.303599936,0.000433043,0.176098774,0.210551196,0.000438973,0.632257435,0.005920171,0.37558015,0.172664203,0.000185342,0.00217961,0.802978469,0.840577257,0.027370193,0.032276295,alive
0.303404643,0.000594059,0.165648308,0.21698024,0.000451949,0.632716333,0.009655386,0.379104104,0.17114094,0.000174751,0.041460898,0.802836624,0.840696027,0.028528508,0.023865991,alive
0.303427363,0.000353035,0.171042097,0.210645741,0.000436677,0.624429802,0.010507118,0.378454336,0.166706885,0.000135413,0.038855129,0.790519359,0.839500564,0.025818056,0.022774349,alive
0.303531777,0.000380038,0.174160381,0.215751158,0.000444487,0.631935179,0.004716439,0.372762999,0.170786517,0.000208037,0.091954131,0.800033865,0.840327583,0.02730973,0.037747762,alive
0.303469902,0.000428043,0.172769795,0.20884939,0.000432659,0.629610553,0.003744335,0.373364677,0.164278712,9380000000.0,0.067773623,0.784318912,0.839279504,0.026551968,0.044640214,alive
0.303435339,0.000231023,0.176225191,0.222558381,0.000445985,0.631116012,0.005680336,0.374562441,0.176841867,0.000229219,0.004262318,0.808047123,0.840949758,0.026914093,0.03318426,alive
0.303849611,0.000314031,0.186085711,0.218114777,0.000447307,0.631384844,0.002603525,0.372542682,0.172151421,8550000000.0,0.003930078,0.803444357,0.840487618,0.027082289,0.058971162,alive
0.303461201,0.000382038,0.186844212,0.220100217,0.000446134,0.631979356,0.008206349,0.377393012,0.175944499,0.000338154,0.035977881,0.802988533,0.840659115,0.027189898,0.026233588,alive
0.303517275,0.000339034,0.183515233,0.234943746,0.000466173,0.630925946,0.004876025,0.374286206,0.189993213,0.00029806,0.027102603,0.827984673,0.842318562,0.026870882,0.036870926,alive
0.3035151,0.000439044,0.176140913,0.225772903,0.000444512,0.630666703,0.003519091,0.370275765,0.180966745,0.000152813,0.082648357,0.818485753,0.841489101,0.026803341,0.046764118,alive
0.303661811,0.0,0.187054907,0.219816583,0.000448605,0.630635882,0.004571444,0.369637181,0.175529749,8780000000.0,0.00494094,0.805047866,0.840673489,0.02679642,0.038593594,alive
0.303513166,0.000313031,0.191268805,0.236078283,0.000455193,0.630678004,0.004277807,0.370900929,0.189088304,0.000503071,0.240895478,0.824062232,0.841955022,0.026806308,0.040479512,alive
0.303500598,0.000448045,0.179807003,0.227569254,0.000466323,0.631151286,0.007071923,0.374071481,0.181275922,0.000113475,0.049102648,0.814382786,0.841555087,0.026944775,0.028753559,alive
0.303487304,0.000554055,0.188951161,0.218587501,0.000452822,0.634200559,0.017978461,0.388757792,0.173772717,0.000102884,0.131184267,0.798860819,0.840439916,0.028875132,0.01760103,alive
0.303475703,0.000518052,0.175677384,0.226907441,0.000466397,0.632020109,0.014541442,0.384182579,0.180295604,0.000155839,0.021844578,0.809426008,0.841654699,0.027327058,0.01932684,alive
0.303671962,0.000677068,0.166828199,0.216885695,0.000429814,0.633413241,0.010265459,0.378162444,0.170447176,6200000000.0,0.007775609,0.799686702,0.840407766,0.029027307,0.023065359,alive
0.303543137,0.000429043,0.186338545,0.232485582,0.000445436,0.63073862,0.003964107,0.371386297,0.187225699,0.000102884,0.046968846,0.825485714,0.842005284,0.026820798,0.042796436,alive
0.303484887,0.000550055,0.178247861,0.223598374,0.000461856,0.630946494,0.001438094,0.37081146,0.177437599,0.000173994,0.184053794,0.813768817,0.840999192,0.026872035,0.095087239,alive
0.303863388,0.000488049,0.182166786,0.223692919,0.000459235,0.630832454,0.002941847,0.370833827,0.178998567,0.000143735,0.023053227,0.813607337,0.841124226,0.026844441,0.053610323,alive
0.303504465,0.000587059,0.158611099,0.198354921,0.00039947,0.629581444,0.015179785,0.381058998,0.155697157,0.001228552,0.004204832,0.769318031,0.836765896,0.02653155,0.018947709,bankrupt
0.30315666,0.000314031,0.153385867,0.216507516,0.000423077,0.630162258,0.018686109,0.380509883,0.154596184,0.000152056,0.033954606,0.766035222,0.835834418,0.026664875,0.017323836,alive
0.303516067,0.000221022,0.180860478,0.21896568,0.000441418,0.63220949,0.008085064,0.37773523,0.171020285,0.000551487,0.014218391,0.800260527,0.840416734,0.027606168,0.026470938,alive
0.303530327,0.000709071,0.181956091,0.215467524,0.000447083,0.63073588,0.001809245,0.369637181,0.16990423,0.00025494,0.149971409,0.798238385,0.840167745,0.026827012,0.078900322,alive
0.303513891,0.000286029,0.165859003,0.211118465,0.000431461,0.627381817,0.009017044,0.37784483,0.165138376,0.001087844,0.007362738,0.789635775,0.839459977,0.026352716,0.02481635,alive
0.303694924,0.000164016,0.176899414,0.220856576,0.000440395,0.631146491,0.007185913,0.376993757,0.175092376,0.00020955,0.004134722,0.807176089,0.840969421,0.026937995,0.028463617,alive
0.303438965,0.000409041,0.167586701,0.215845703,0.000444363,0.633714949,0.010689501,0.380571393,0.169791117,0.000188368,0.059433657,0.798076143,0.840254094,0.030297991,0.022562823,alive
0.303576975,0.000237024,0.172601239,0.211402099,0.000437899,0.633548513,0.010899242,0.379165614,0.169851444,0.00016416,0.038818966,0.797369558,0.840184676,0.028796378,0.022328747,alive
0.303509299,0.000225023,0.177615777,0.214427531,0.000454819,0.62513493,0.005632005,0.37342395,0.167815399,0.000236027,0.106420829,0.7939996,0.839894355,0.026171925,0.033376274,alive
0.303581567,0.000265027,0.16556403,0.209983927,0.000431386,0.629999247,0.004130076,0.373503354,0.164587889,0.000159621,0.056637187,0.783431474,0.83919715,0.026632897,0.041526973,alive
0.303470385,0.000131013,0.179048502,0.228892881,0.000452573,0.6307191,0.004976336,0.373316588,0.184435563,0.000316973,0.006449691,0.821700552,0.841884719,0.026817072,0.036346483,alive
0.304372406,0.000269027,0.189498968,0.229176515,0.000447108,0.630908138,0.002297121,0.372026,0.176917276,0.000127092,0.007233986,0.813863909,0.841081811,0.026888369,0.065110879,alive
0.303481987,0.000244024,0.18570646,0.218871135,0.0004378,0.631772852,0.006716275,0.375376608,0.172701908,0.000299573,0.035958446,0.801531632,0.840489151,0.027212239,0.029715376,alive
0.303526218,0.00020202,0.182335342,0.22709653,0.000440095,0.63100026,0.005469683,0.374602702,0.181532313,0.00044936,0.033977102,0.816487687,0.841562417,0.026900931,0.034046443,alive
0.30353081,0.000181018,0.180607644,0.232485582,0.0004651,0.630653005,0.004202117,0.370924414,0.185257522,0.000135413,0.089059468,0.827878672,0.842202691,0.026802025,0.041011104,alive
0.303470627,0.337732773,0.193586448,0.2149948,0.000469492,0.630686908,0.001770033,0.369637181,0.170597994,953000000.0,0.008618155,0.797257394,0.84011287,0.026799695,0.080288803,alive
0.303568757,0.000268027,0.19021533,0.224165642,0.000426396,0.630741017,0.004098159,0.37143886,0.182799186,0.000634702,0.059757415,0.819658694,0.841633707,0.026824352,0.041761066,alive
0.303523801,0.000153015,0.182377481,0.229554694,0.000455193,0.63075951,0.006311383,0.373075022,0.186675213,0.000155082,0.042962938,0.820055304,0.841928855,0.026825869,0.030939423,alive
0.303568274,0.000326033,0.193375753,0.223692919,0.000455567,0.632532431,0.017745921,0.388174008,0.175130081,0.000135413,0.151494276,0.801809219,0.840837168,0.027873465,0.01769655,alive
0.303522351,0.00030303,0.17706797,0.228609246,0.000471488,0.63133279,0.01087918,0.379728149,0.182980167,0.00020728,0.03245725,0.813709224,0.841840223,0.027004288,0.022350515,alive
0.303921396,0.000314031,0.16640681,0.219343859,0.000435204,0.631712237,0.010638434,0.378279872,0.172422894,6280000000.0,0.01175541,0.804306892,0.840877346,0.02722007,0.022621556,alive
0.303532502,0.00040204,0.184947958,0.231351045,0.000459834,0.630687251,0.00288622,0.370081171,0.185928663,0.000122553,0.085323515,0.826247035,0.841891527,0.026809125,0.054415661,alive
0.303505432,0.000272027,0.175677384,0.220100217,0.000466447,0.631054027,0.004141931,0.374115097,0.17470779,0.00017702,0.142006336,0.807092788,0.840791674,0.026911276,0.041442091,alive
0.303859279,0.000249025,0.180944756,0.221802023,0.000443963,0.630819098,0.003478055,0.371381824,0.176600558,0.000137683,0.027913279,0.809635499,0.840917382,0.026842995,0.047172597,alive
0.303419145,0.000984098,0.184695125,0.22511109,0.000473834,0.632880029,0.016721838,0.381969343,0.180544454,0.000180046,0.008967566,0.805041237,0.841229458,0.027821365,0.018150152,bankrupt
0.303433406,0.000744074,0.177110109,0.214616621,0.000433008,0.641335735,0.017898212,0.38626273,0.169361285,4090000000.0,0.012239141,0.796483203,0.840113834,0.03570033,0.017633492,bankrupt
0.303817223,0.000645065,0.220302558,0.237590999,0.000477302,0.631414981,0.007624545,0.377516032,0.18963879,6660000000.0,0.017114877,0.821649762,0.842223704,0.026997024,0.027434088,alive
0.303702416,0.000671067,0.226244153,0.252434528,0.000484614,0.631347516,0.007329084,0.3767466,0.194329236,0.000110449,0.016781613,0.825518796,0.842508346,0.027064739,0.028115753,alive
0.303564648,0.000556056,0.176941553,0.208093032,0.000433408,0.65646498,0.00424589,0.373530195,0.166948194,0.000303356,0.034954906,0.79411053,0.839915446,0.026101246,0.04070064,alive
0.303385307,0.00059706,0.176520163,0.201096719,0.000421055,0.629720826,0.009139241,0.374650792,0.155342734,0.000146004,0.013444309,0.777633778,0.838345053,0.026613844,0.0246243,alive
0.303511716,0.00050305,0.179722726,0.220383852,0.000447806,0.631660183,0.005845393,0.373875768,0.173101576,0.000148274,0.023103422,0.804214862,0.840668588,0.027163318,0.032550096,alive
0.303531777,0.0,0.193544309,0.211496644,0.000424075,0.630579718,0.00093654,0.369637181,0.165982958,0.000254183,0.033930604,0.791033964,0.839788159,0.026784149,0.134800925,alive
0.303526218,0.0,0.18692849,0.216129337,0.000448655,0.630612594,0.001801038,0.369637181,0.170024885,0.000160378,0.053978851,0.79836826,0.840174885,0.02679124,0.079164708,alive
0.303488996,0.000530053,0.182208925,0.230594687,0.000458487,0.630809509,0.002527836,0.371724042,0.184797527,0.000329077,0.010186416,0.823788524,0.841691077,0.026837043,0.060363648,alive
0.303533469,0.0,0.186085711,0.217074785,0.000426895,0.630676977,0.002391961,0.369637181,0.172815021,0.000270826,0.027308939,0.802361524,0.840416165,0.02680573,0.063048887,alive
0.303481987,0.000616062,0.180986895,0.215940248,0.000503005,0.631560527,0.008384173,0.376518454,0.178131363,0.000132387,0.076403962,0.812159515,0.841479536,0.027180106,0.025899989,alive
0.303649484,0.000942094,0.179301336,0.216696606,0.000454245,0.633124546,0.005478802,0.37533411,0.171073071,0.000171725,0.035808817,0.801425262,0.840446458,0.028934008,0.034009748,alive
0.303531052,0.000523052,0.181239729,0.217831143,0.000431162,0.631772168,0.004990014,0.373501117,0.173124199,0.000182316,0.115407971,0.802731335,0.840526611,0.027171077,0.036275918,alive
0.303124756,0.000529053,0.156714846,0.181431408,0.0003691,0.630369789,0.007989312,0.376540821,0.143669407,0.000106666,0.035870606,0.719703518,0.833423653,0.026720105,0.02666192,alive
0.303421804,0.000618062,0.172643378,0.208282122,0.000420556,0.654476651,0.009862392,0.378010347,0.167589171,0.000118014,0.038437434,0.79239256,0.839698384,0.024330355,0.023583315,alive
0.303488755,0.000414041,0.178753529,0.20487851,0.000426495,0.630234175,0.005869103,0.372957594,0.159716462,0.000162647,0.069737919,0.780554329,0.838868677,0.026788158,0.032463577,alive
0.303541203,0.000557056,0.17706797,0.218776591,0.000439996,0.631424912,0.003227277,0.371992449,0.173780258,0.000138439,0.030617237,0.806317964,0.840691692,0.027033526,0.049928016,alive
0.303636433,0.000471047,0.19763179,0.221045665,0.000582785,0.6307191,0.004172024,0.369740071,0.176329085,0.000236027,0.521109465,0.874451641,0.845345119,0.026817418,0.041220454,alive
0.304328658,0.000649065,0.182630315,0.221802023,0.000491102,0.630830742,0.003921247,0.373319943,0.188884699,5900000000.0,0.050045616,0.834655161,0.842606977,0.026796803,0.043138683,alive
0.303672204,0.000671067,0.226075597,0.247234566,0.000516805,0.631603677,0.008101478,0.377817989,0.186124727,7410000000.0,0.008579369,0.820394363,0.842175751,0.027122881,0.026438018,alive
0.304080192,0.000693069,0.197126122,0.241278245,0.00051436,0.631321146,0.006630555,0.376352937,0.188666013,0.000127092,0.052106549,0.834540474,0.843125731,0.027052055,0.029960292,alive
0.303526943,0.000389039,0.176435886,0.22908197,0.000482767,0.630833824,0.003580189,0.372370455,0.182655908,0.000157352,0.16303986,0.826485765,0.842012823,0.026853984,0.046160025,alive
0.303519209,0.000654065,0.181829674,0.231161955,0.000460858,0.631380735,0.008762619,0.37718276,0.185528995,0.000257966,0.062853544,0.817782345,0.842020324,0.02701137,0.025232932,alive
0.303480537,0.001257126,0.192111584,0.226623806,0.000465299,0.631233134,0.003803609,0.37074324,0.180687731,0.000139952,0.030340028,0.813022466,0.841162365,0.026963179,0.044123749,alive
0.303548454,0.000912091,0.19143736,0.237780089,0.000498514,0.631002657,0.00552531,0.372542682,0.193167936,0.00027007,0.041812942,0.831351886,0.842673716,0.026906448,0.033815308,alive
0.303498181,0.000574057,0.180396949,0.212442091,0.000442965,0.624126724,0.00522073,0.373675581,0.166940653,0.000364632,0.105382958,0.791851948,0.839741926,0.025964301,0.035155797,alive
0.303523318,0.000619062,0.162487885,0.207809398,0.000425073,0.626939357,0.011037854,0.377511558,0.164406907,0.000111962,0.011839115,0.784648939,0.83888655,0.026125058,0.022178574,bankrupt
0.303741572,0.000361036,0.219923307,0.243830954,0.000473285,0.631049575,0.00625758,0.37594809,0.19510595,0.000102884,0.008115258,0.824914279,0.842301738,0.026925897,0.031111722,alive
0.303632324,0.000334033,0.220766087,0.237023731,0.000464027,0.631179367,0.007275281,0.37664371,0.189601086,0.000120283,0.006428483,0.816293759,0.84173294,0.026963159,0.02824509,alive
0.303514616,0.000435044,0.177868611,0.217074785,0.000462405,0.631805044,0.003911216,0.372925162,0.171736671,0.000360849,0.035690086,0.800562579,0.840346046,0.027243084,0.043219622,alive
0.303520901,0.000371037,0.165774725,0.212063912,0.000449154,0.634944384,0.009534101,0.375120503,0.169006862,0.000152813,0.012598129,0.796094757,0.840054325,0.047108615,0.024036294,alive
0.303609121,0.000186019,0.182883149,0.226718351,0.000467196,0.630856769,0.008717023,0.377072043,0.17918709,0.000195933,0.169365647,0.811876396,0.841481127,0.026865111,0.02531018,alive
0.303602836,980000000.0,0.194387089,0.221045665,0.000448256,0.630671155,0.002492271,0.371028422,0.177950381,0.00046222,0.008888219,0.81149996,0.840959642,0.026806953,0.061038819,alive
0.303503015,0.000229023,0.183178121,0.211307554,0.000439347,0.62932905,0.005383963,0.372737277,0.166721967,0.000236027,0.025839074,0.791668826,0.839725062,0.026482049,0.034416055,alive
0.30345685,0.000224022,0.180059837,0.219911128,0.000461456,0.631016698,0.004130988,0.373312114,0.176140563,0.000490211,0.010759308,0.808565728,0.840890283,0.026884937,0.041522366,alive
0.303517275,0.0,0.195609119,0.241845514,0.000468294,0.630612252,0.002781349,0.369637181,0.194472513,0.000459951,0.071517257,0.833022416,0.842285933,0.026791157,0.056004525,alive
0.303135391,0.000418042,0.154144368,0.204783965,0.000383449,0.62966021,0.019419291,0.383786679,0.156172234,0.000132387,0.004313979,0.768874463,0.836133758,0.026533775,0.017057834,alive
0.303744472,0.000290029,0.182082508,0.220289307,0.000453172,0.631107793,0.003346739,0.372456568,0.175484503,0.000174751,0.003360493,0.806505,0.840709771,0.026912397,0.04857047,alive
0.30350519,0.000283028,0.182925288,0.221612934,0.000447806,0.631102999,0.003863796,0.371752001,0.175318603,0.000250401,0.070749331,0.806598562,0.840743461,0.02691797,0.043609135,alive
